time	RMSD_R1	RMSD_R2	RMSD_R3
86.6	11.04	4.04	3.22
86.7	11.7	3.66	2.82
86.8	11.91	3.54	2.52
86.9	11.98	3.43	2.65
87.0	12.41	3.4	2.7
87.1	12.66	3.48	3.33
87.2	12.4	3.53	3.77
87.3	12.68	3.64	3.8
87.4	12.74	3.89	3.49
87.5	12.87	4.38	3.3
87.6	13.28	4.2	3.32
87.7	13.31	4.26	2.94
87.8	12.96	3.73	3.15
87.9	13.31	3.84	4.24
88.0	13.31	3.77	3.39
88.1	13.59	3.68	3.44
88.2	12.16	4.62	3.16
88.3	12.63	3.27	3.23
88.4	12.34	3.3	3.58
88.5	12.49	3.51	3.67
88.6	12.3	2.84	3.98
88.7	12.28	2.46	3.57
88.8	12.85	2.55	3.43
88.9	12.88	2.75	3.41
89.0	12.96	3.03	3.6
89.1	12.27	3.91	3.64
89.2	12.65	4.36	2.7
89.3	12.92	4.2	2.74
89.4	12.75	3.74	3.96
89.5	12.76	3.48	3.9
89.6	12.72	3.6	3.44
89.7	12.91	3.74	3.53
89.8	12.96	3.78	4.04
89.9	12.46	4.41	3.89
90.0	13.25	4.15	2.39
90.1	13.17	3.79	2.68
90.2	12.79	4.36	2.56
90.3	12.86	4.49	2.81
90.4	12.94	3.48	3.56
90.5	12.57	4.36	3.72
90.6	12.98	4.27	4.64
90.7	12.6	3.74	5.34
90.8	12.85	3.68	5.7
90.9	12.81	3.65	4.97
91.0	12.91	4.0	4.34
91.1	12.57	3.81	4.06
91.2	12.75	3.71	3.79
91.3	12.76	3.57	2.95
91.4	13.28	4.07	2.33
91.5	13.31	3.67	2.72
91.6	13.24	3.56	2.65
91.7	12.99	3.73	3.17
91.8	12.46	3.53	2.37
91.9	12.44	3.22	2.07
92.0	12.68	3.07	2.69
92.1	12.15	3.26	2.32
92.2	11.86	2.77	1.83
92.3	11.47	3.06	1.77
92.4	11.22	2.52	2.75
92.5	11.14	3.01	2.88
92.6	11.53	3.99	3.08
92.7	11.28	4.58	2.39
92.8	11.13	3.94	2.64
92.9	11.2	3.62	2.74
93.0	10.96	3.22	2.58
93.1	10.34	2.78	1.89
93.2	10.71	3.0	1.93
93.3	11.03	2.96	1.62
93.4	10.77	2.78	2.4
93.5	11.25	2.89	2.12
93.6	11.82	3.06	2.94
93.7	11.63	2.65	1.96
93.8	11.51	2.78	2.95
93.9	11.68	2.83	2.98
94.0	12.01	3.41	2.48
94.1	11.83	2.91	2.23
94.2	11.79	3.6	2.62
94.3	12.34	4.01	2.5
94.4	12.53	4.07	2.3
94.5	12.01	3.92	2.35
94.6	12.61	3.88	2.46
94.7	12.56	3.42	2.34
94.8	13.06	3.48	1.95
94.9	13.51	3.63	1.99
95.0	13.18	3.44	2.84
95.1	13.66	4.05	2.87
95.2	12.96	3.93	2.99
95.3	12.92	3.77	3.0
95.4	12.37	3.72	2.01
95.5	12.98	3.86	2.14
95.6	11.72	3.52	2.27
95.7	11.67	3.61	3.28
95.8	12.01	3.65	3.45
95.9	11.6	4.26	4.23
96.0	12.16	4.5	4.56
96.1	12.07	4.66	5.1
96.2	12.81	4.94	4.97
96.3	12.29	5.16	4.16
96.4	12.61	3.36	4.05
96.5	12.56	3.45	3.18
96.6	12.59	3.36	3.49
96.7	11.99	4.12	3.54
96.8	11.87	4.6	4.39
96.9	12.05	4.6	3.73
97.0	11.72	4.57	3.52
97.1	11.89	4.39	3.63
97.2	11.46	4.15	3.28
97.3	11.59	4.26	3.18
97.4	11.41	4.44	3.2
97.5	11.71	5.26	3.33
97.6	11.42	5.69	3.53
97.7	11.77	5.58	3.16
97.8	12.2	5.29	3.21
97.9	12.38	4.45	3.29
98.0	11.84	5.24	4.14
98.1	12.15	4.97	4.62
98.2	12.77	4.36	5.16
98.3	11.75	4.81	5.32
98.4	12.26	4.5	5.12
98.5	12.24	5.31	4.72
98.6	11.97	4.36	4.37
98.7	12.38	4.39	4.89
98.8	11.88	4.86	5.22
98.9	11.47	4.79	5.31
99.0	11.38	4.52	5.41
99.1	10.74	3.32	5.51
99.2	11.37	3.9	6.03
99.3	11.16	4.05	6.51
99.4	11.04	4.29	6.28
99.5	12.03	4.36	6.4
99.6	11.42	4.67	5.74
99.7	11.57	4.42	5.49
99.8	11.62	4.26	5.69
99.9	11.66	4.67	5.11
100.0	11.22	4.25	6.09
