time	RMSD_R1	RMSD_R2	RMSD_R3
19.8	4.66	5.06	6.02
19.9	5.29	4.4	5.44
20.0	4.99	4.54	5.35
20.1	4.19	4.54	4.81
20.2	4.96	4.57	5.1
20.3	4.72	3.5	4.7
20.4	4.36	4.21	3.62
20.5	4.28	3.87	3.31
20.6	4.73	4.27	3.06
20.7	5.38	3.47	3.49
20.8	6.91	3.56	4.48
20.9	7.53	3.44	4.28
21.0	7.19	4.04	4.08
21.1	5.84	4.18	4.55
21.2	6.35	3.82	5.51
21.3	5.82	3.85	5.8
21.4	6.15	3.79	5.13
21.5	5.49	4.14	4.64
21.6	6.35	3.92	4.46
21.7	5.53	4.55	5.03
21.8	6.38	5.18	5.14
21.9	5.79	5.79	5.09
22.0	5.58	5.38	5.06
22.1	6.58	5.49	5.44
22.2	5.94	4.78	5.57
22.3	5.65	5.09	5.39
22.4	5.68	4.7	4.46
22.5	6.49	5.08	5.66
22.6	5.64	4.01	4.92
22.7	5.34	4.52	5.43
22.8	5.57	4.51	6.23
22.9	5.44	4.43	6.92
23.0	5.33	4.54	6.52
23.1	5.49	4.95	5.93
23.2	6.33	4.75	6.63
23.3	6.28	4.39	6.02
23.4	6.59	4.3	6.47
23.5	5.28	4.0	6.92
23.6	5.89	4.31	6.88
23.7	4.63	5.13	6.69
23.8	4.89	4.65	7.42
23.9	5.07	4.46	6.76
24.0	5.48	4.92	7.3
24.1	6.71	4.77	6.76
24.2	7.71	4.64	7.01
24.3	8.25	4.25	6.58
24.4	8.38	4.4	5.61
24.5	8.13	4.97	5.65
24.6	7.87	4.76	5.42
24.7	7.3	4.49	4.91
24.8	6.26	4.02	5.71
24.9	6.96	4.59	5.51
25.0	6.96	4.21	5.62
25.1	7.41	5.18	6.04
25.2	8.02	4.75	5.12
25.3	7.54	4.48	5.74
25.4	5.42	4.56	6.26
25.5	6.75	5.17	5.7
25.6	6.09	4.73	5.97
25.7	6.45	4.47	5.64
25.8	7.59	4.09	5.87
25.9	8.04	4.29	5.82
26.0	7.48	4.41	6.28
26.1	8.03	4.76	6.52
26.2	8.31	5.89	6.93
26.3	6.28	4.45	6.33
26.4	6.63	4.73	5.7
26.5	6.26	4.85	5.74
26.6	6.31	4.86	5.97
26.7	6.07	4.92	6.88
26.8	5.56	4.53	5.95
26.9	5.19	5.13	6.17
27.0	5.79	4.85	6.41
27.1	5.92	5.09	6.02
27.2	5.91	5.34	5.85
27.3	5.67	5.0	5.63
27.4	7.1	5.05	6.4
27.5	6.61	5.91	6.39
27.6	6.11	5.81	7.29
27.7	5.93	6.05	5.89
27.8	6.38	5.87	7.03
27.9	6.57	4.97	6.82
28.0	5.48	5.51	7.55
28.1	5.33	4.68	7.2
28.2	5.42	4.38	7.13
28.3	5.47	4.79	7.33
28.4	5.18	4.15	6.68
28.5	6.23	4.68	6.55
28.6	6.35	4.53	6.52
28.7	5.87	5.46	6.71
28.8	5.95	4.61	5.94
28.9	6.8	4.79	5.38
29.0	6.72	4.95	6.1
29.1	5.79	4.63	6.02
29.2	6.16	4.9	5.81
29.3	5.79	5.64	5.78
29.4	6.15	4.87	5.52
29.5	6.14	4.73	5.09
29.6	7.17	4.36	4.4
29.7	8.07	3.96	4.74
29.8	7.59	4.3	5.19
29.9	7.57	4.64	4.8
30.0	7.69	4.57	4.84
30.1	7.24	4.36	5.68
30.2	7.97	4.37	5.65
30.3	7.17	4.64	5.74
30.4	8.03	5.01	4.57
30.5	7.5	5.64	4.87
30.6	7.51	5.23	5.06
30.7	6.58	4.93	5.3
30.8	7.34	4.45	4.09
30.9	7.43	4.86	4.46
31.0	6.86	4.81	6.16
31.1	6.35	5.27	6.41
31.2	7.06	5.08	5.92
31.3	7.46	4.44	6.39
31.4	7.26	4.7	4.97
31.5	7.05	4.68	5.02
31.6	7.77	5.18	5.4
31.7	7.89	5.03	6.32
31.8	7.64	5.24	6.26
31.9	7.07	5.01	6.09
32.0	6.76	4.73	6.54
32.1	6.7	4.43	6.37
32.2	6.84	4.6	5.91
32.3	6.27	4.9	5.87
32.4	5.52	5.41	7.69
32.5	6.68	5.69	6.95
32.6	7.05	6.22	6.41
32.7	6.76	6.14	7.27
32.8	7.71	6.76	6.89
32.9	8.11	6.07	7.61
33.0	8.04	6.3	7.24
33.1	7.48	5.69	7.32
33.2	7.41	5.35	7.23
33.3	7.64	5.13	7.56
33.4	7.66	4.16	6.52
33.5	7.83	4.38	6.04
33.6	8.39	3.67	6.87
33.7	7.77	4.77	7.08
33.8	8.1	4.45	6.98
33.9	8.06	4.44	7.17
34.0	6.87	4.24	7.15
34.1	7.07	4.41	5.85
34.2	6.45	4.44	5.03
34.3	6.51	4.46	4.99
34.4	6.19	4.91	4.51
34.5	5.54	4.48	4.71
34.6	5.41	4.93	5.2
34.7	5.4	4.42	4.71
34.8	6.42	5.23	4.38
34.9	6.27	5.31	4.37
35.0	7.63	5.19	5.24
35.1	8.08	5.13	4.42
35.2	7.2	5.0	4.35
35.3	6.48	5.53	4.96
35.4	6.8	6.02	4.04
35.5	6.54	5.99	4.03
35.6	6.52	6.89	4.6
35.7	6.83	6.41	5.18
35.8	6.43	5.58	5.1
35.9	5.98	6.13	5.19
36.0	6.6	6.49	5.29
36.1	6.61	5.37	5.72
36.2	6.06	5.01	6.03
36.3	6.87	4.94	6.14
36.4	5.98	5.41	5.11
36.5	5.81	5.3	4.72
36.6	6.6	5.19	4.99
36.7	7.04	4.9	4.43
36.8	7.09	4.23	4.21
36.9	7.56	4.72	4.27
37.0	8.6	5.24	4.12
37.1	8.36	4.95	5.12
37.2	8.14	5.51	5.3
37.3	8.89	5.82	4.52
37.4	9.27	5.64	4.33
37.5	8.52	5.23	4.74
37.6	8.51	5.39	5.28
37.7	8.14	5.23	5.8
37.8	9.22	5.98	5.71
37.9	7.71	5.5	5.64
38.0	8.52	5.31	5.47
38.1	9.02	5.61	6.29
38.2	7.64	6.01	6.3
38.3	6.99	5.43	6.21
38.4	6.98	4.94	6.07
38.5	6.47	4.26	5.16
38.6	5.99	5.09	5.31
38.7	6.79	4.7	6.02
38.8	6.01	4.8	6.35
38.9	5.92	4.89	5.39
39.0	6.27	4.88	6.66
39.1	6.65	4.99	6.46
39.2	6.23	5.45	6.22
39.3	6.32	4.76	6.11
39.4	6.89	3.93	6.21
39.5	6.24	4.43	5.74
39.6	6.41	4.57	6.76
39.7	7.45	4.23	6.62
39.8	6.71	4.51	6.3
39.9	7.04	5.01	7.32
40.0	6.82	4.65	8.16
40.1	7.03	4.96	7.97
40.2	7.17	4.97	7.15
40.3	7.27	4.97	6.86
40.4	7.08	4.35	6.63
40.5	6.81	5.15	7.08
40.6	6.18	4.89	7.33
40.7	6.51	4.41	7.73
40.8	6.69	4.88	7.87
40.9	6.29	4.71	8.32
41.0	6.14	5.3	8.26
41.1	5.99	5.08	8.61
41.2	6.06	5.47	8.46
41.3	6.14	5.0	8.33
41.4	6.06	4.75	8.12
41.5	5.53	4.68	7.97
41.6	5.41	4.92	7.18
41.7	5.59	5.01	6.65
41.8	6.72	5.0	7.46
41.9	6.8	4.88	7.48
42.0	6.63	5.77	6.57
42.1	6.17	5.3	6.05
42.2	7.17	5.52	6.44
42.3	6.67	5.51	7.18
42.4	5.46	6.16	6.91
42.5	5.9	6.02	6.41
42.6	6.15	5.11	6.47
42.7	6.69	4.74	5.54
42.8	5.67	5.67	4.82
42.9	7.01	5.38	4.61
43.0	6.29	5.52	4.67
43.1	5.47	5.76	5.49
43.2	5.51	5.98	5.08
43.3	5.4	5.01	5.5
43.4	5.77	4.49	6.29
43.5	5.71	5.07	5.08
43.6	6.68	4.93	5.41
43.7	6.59	5.41	5.67
